Date : 2023-12-06 19:37:27
Directory : /Users/derekhsieh/vertix/obsidian
Total : 61 files,  9762 codes, 369 comments, 621 blanks, all 10752 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/derekhsieh/vertix/obsidian/components/Modal.tsx                 | TypeScript JSX     |         18 |          0 |          5 |         23 |
| /Users/derekhsieh/vertix/obsidian/components/ui/alert-dialog.tsx       | TypeScript JSX     |        127 |          0 |         15 |        142 |
| /Users/derekhsieh/vertix/obsidian/components/ui/button.tsx             | TypeScript JSX     |         51 |          0 |          6 |         57 |
| /Users/derekhsieh/vertix/obsidian/components/ui/dialog.tsx             | TypeScript JSX     |        109 |          0 |         14 |        123 |
| /Users/derekhsieh/vertix/obsidian/components/ui/tabs.tsx               | TypeScript JSX     |         48 |          0 |          8 |         56 |
| /Users/derekhsieh/vertix/obsidian/components/ui/tooltip.tsx            | TypeScript JSX     |         23 |          0 |          8 |         31 |
| /Users/derekhsieh/vertix/obsidian/hooks/useWindowSize.ts               | TypeScript         |         20 |          0 |          6 |         26 |
| /Users/derekhsieh/vertix/obsidian/lib/OpenaiConfig.ts                  | TypeScript         |          5 |          0 |          3 |          8 |
| /Users/derekhsieh/vertix/obsidian/lib/constants.ts                     | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/derekhsieh/vertix/obsidian/lib/correctCode.ts                   | TypeScript         |        129 |          0 |         25 |        154 |
| /Users/derekhsieh/vertix/obsidian/lib/utils.ts                         | TypeScript         |          5 |          0 |          2 |          7 |
| /Users/derekhsieh/vertix/obsidian/next.config.js                       | JavaScript         |         15 |         10 |          7 |         32 |
| /Users/derekhsieh/vertix/obsidian/package-lock.json                    | JSON               |      6,587 |          0 |          1 |      6,588 |
| /Users/derekhsieh/vertix/obsidian/package.json                         | JSON               |         59 |          0 |          1 |         60 |
| /Users/derekhsieh/vertix/obsidian/postcss.config.js                    | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/derekhsieh/vertix/obsidian/public/next.svg                      | XML                |          1 |          0 |          0 |          1 |
| /Users/derekhsieh/vertix/obsidian/public/vercel.svg                    | XML                |          1 |          0 |          0 |          1 |
