"filename", "language", "JSON with Comments", "TypeScript", "JSON", "XML", "TypeScript JSX", "JavaScript", "Markdown", "CSS", "comment", "blank", "total"
"/Users/derekhsieh/vertix/obsidian/next.config.js", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 0, 10, 7, 32
"/Users/derekhsieh/vertix/obsidian/package-lock.json", "JSON", 0, 0, 6587, 0, 0, 0, 0, 0, 0, 1, 6588
"/Users/derekhsieh/vertix/obsidian/package.json", "JSON", 0, 0, 59, 0, 0, 0, 0, 0, 0, 1, 60
"/Users/derekhsieh/vertix/obsidian/postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"/Users/derekhsieh/vertix/obsidian/public/next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/derekhsieh/vertix/obsidian/public/vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/derekhsieh/vertix/obsidian/stores/behavioralStore.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"/Users/derekhsieh/vertix/obsidian/stores/compilationStore.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 10, 37
"/Users/derekhsieh/vertix/obsidian/stores/dataStore.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/Users/derekhsieh/vertix/obsidian/stores/globalState.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/Users/derekhsieh/vertix/obsidian/stores/priorStore.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 1, 12, 47
"/Users/derekhsieh/vertix/obsidian/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 75, 0, 0, 1, 0, 76
"/Users/derekhsieh/vertix/obsidian/tailwind.config.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/derekhsieh/vertix/obsidian/tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 2, 1, 29
"/Users/derekhsieh/vertix/obsidian/utils/bagOfWords.ts", "TypeScript", 0, 90, 0, 0, 0, 0, 0, 0, 228, 70, 388
"/Users/derekhsieh/vertix/obsidian/utils/compileClient.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 8, 34
"/Users/derekhsieh/vertix/obsidian/utils/speechClient.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 8, 39
"/Users/derekhsieh/vertix/obsidian/utils/stopWords.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/derekhsieh/vertix/obsidian/utils/syntaxHighlight.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 8, 3, 29
"/Users/derekhsieh/vertix/obsidian/utils/talkingNaiveBayes.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 3, 20, 75
"Total", "-", 29, 1082, 6662, 2, 1803, 96, 23, 65, 369, 621, 10752
